ticker,currency,company_name,exchange,exchange_short,timezone
TAT1.L,USD,TATUNG CO LTD/S GDR 144A,London Stock Exchange,LSE,Europe/London
SG65.L,USD,SG ISSU/GBPUSD X5 DLY SHT PERP LEV,London Stock Exchange,LSE,Europe/London
AAP2.L,USD,LEV/ETP 2X APPLE 20670403,London Stock Exchange,LSE,Europe/London
AT1.L,USD,SOURCE/SHS CL-USD ACCUMG USD,London Stock Exchange,LSE,Europe/London
CORN.L,USD,ETFS COMM/CORN,London Stock Exchange,LSE,Europe/London
SXLE.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
FLQA.L,USD,FRANKLIN LIB/SHS CL-ACC USD,London Stock Exchange,LSE,Europe/London
XCS5.L,USD,XTRACKERS MSCI INDI/USD,London Stock Exchange,LSE,Europe/London
AGGG.L,USD,ISHS III/SHS USD,London Stock Exchange,LSE,Europe/London
EMCR.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
INFU.L,USD,LYX.US 10Y INFLAT/EUR,London Stock Exchange,LSE,Europe/London
NGAF.L,USD,ETFS COMM/LONGER DATED NATURAL GAS,London Stock Exchange,LSE,Europe/London
SCOR.L,USD,ETFS COMM/1X DAILY SHORT CORN,London Stock Exchange,LSE,Europe/London
3WHL.L,USD,ETFS COMM/3X DAILY LONG WHEAT,London Stock Exchange,LSE,Europe/London
HRUD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
STAW.L,USD,MULTI UNITS LUX-L.M/USD,London Stock Exchange,LSE,Europe/London
MEUU.L,USD,LY.MSCI EUR.DR UC.ETF D EUR SI,London Stock Exchange,LSE,Europe/London
EMGA.L,USD,ISHS III/SHS CL-USD ACCUMG USD,London Stock Exchange,LSE,Europe/London
LCAS.L,USD,LYXOR MSCI EM ASIA/USD,London Stock Exchange,LSE,Europe/London
XD5D.L,USD,XTRACKERS MSCI EMU/USD,London Stock Exchange,LSE,Europe/London
COFU.L,USD,UBS London/ETC Perp Othr,London Stock Exchange,LSE,Europe/London
IUVL.L,USD,ISHS IV/SHS USD,London Stock Exchange,LSE,Europe/London
IDTP.L,USD,ISHS II/SHS USD,London Stock Exchange,LSE,Europe/London
42KU.L,USD,GRUPO CLARIN S/GDR 144A,London Stock Exchange,LSE,Europe/London
